學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,學生數,年份
6,國立中興大學,07141045,電機工程學系,D 日,B 學士,355,109
6,國立中興大學,07141102,電機資訊學院學士班,D 日,B 學士,30,109
6,國立中興大學,07151050,機械工程學系,D 日,B 學士,380,109
6,國立中興大學,07151052,生物產業機電工程學系,D 日,B 學士,218,109
6,國立中興大學,07211081,食品暨應用生物科技學系,D 日,B 學士,224,109
6,國立中興大學,07312061,景觀與遊憩學士學位學程,D 日,B 學士,88,109
6,國立中興大學,07321054,土木工程學系,D 日,B 學士,357,109
6,國立中興大學,08111063,農藝學系,D 日,B 學士,208,109
6,國立中興大學,08112066,動物科學系,D 日,B 學士,212,109
6,國立中興大學,08121067,園藝學系,D 日,B 學士,187,109
6,國立中興大學,08191083,土壤環境科學系,D 日,B 學士,191,109
6,國立中興大學,08193076,生物產業管理進修學士學位學程,P 進,B 學士,207,109
6,國立中興大學,08193078,國際農企業學士學位學程,D 日,B 學士,91,109
6,國立中興大學,08194068,植物病理學系,D 日,B 學士,205,109
6,國立中興大學,08211086,森林學系,D 日,B 學士,264,109
6,國立中興大學,08411087,獸醫學系,D 日,B 學士,403,109
7,國立交通大學,02299008,人文社會學系,D 日,B 學士,191,109
7,國立交通大學,02311005,外國語文學系,D 日,B 學士,199,109
7,國立交通大學,03211015,傳播與科技學系,D 日,B 學士,168,109
7,國立交通大學,04121020,資訊管理與財務金融學系,D 日,B 學士,174,109
7,國立交通大學,04131018,管理科學系,D 日,B 學士,202,109
7,國立交通大學,05121028,生物科技學系,D 日,B 學士,283,109
7,國立交通大學,05311036,應用化學系,D 日,B 學士,206,109
7,國立交通大學,05331041,電子物理學系,D 日,B 學士,210,109
7,國立交通大學,05411045,應用數學系,D 日,B 學士,216,109
7,國立交通大學,06131058,資訊工程學系,D 日,B 學士,802,109
7,國立交通大學,07112072,材料科學與工程學系,D 日,B 學士,196,109
7,國立交通大學,07141050,電機工程學系,D 日,B 學士,880,109
7,國立交通大學,07141051,電子工程學系,D 日,B 學士,189,109
7,國立交通大學,07141055,光電工程學系,D 日,B 學士,147,109
7,國立交通大學,07141068,電機資訊學士班,D 日,B 學士,52,109
7,國立交通大學,07141074,奈米科學及工程學士學位學程,D 日,B 學士,96,109
7,國立交通大學,07151070,機械工程學系,D 日,B 學士,414,109
7,國立交通大學,07191075,工業工程與管理學系,D 日,B 學士,227,109
7,國立交通大學,07199102,系統工程與科技學士學位學程,D 日,B 學士,471,109
7,國立交通大學,07321071,土木工程學系,D 日,B 學士,309,109
7,國立交通大學,10411086,運輸與物流管理學系,D 日,B 學士,196,109
7,國立交通大學,99999096,百川學士學位學程,D 日,B 學士,77,109
8,國立中央大學,02299080,文學院學士班,D 日,B 學士,20,109
8,國立中央大學,02311007,英美語文學系,D 日,B 學士,215,109
8,國立中央大學,02311008,法國語文學系,D 日,B 學士,209,109
8,國立中央大學,02322006,中國文學系,D 日,B 學士,208,109
8,國立中央大學,03111013,經濟學系,D 日,B 學士,246,109
8,國立中央大學,03199020,客家語文暨社會科學學系,D 日,B 學士,122,109
8,國立中央大學,04121024,財務金融學系,D 日,B 學士,261,109
8,國立中央大學,04131023,企業管理學系,D 日,B 學士,400,109
8,國立中央大學,05121031,生命科學系,D 日,B 學士,142,109
8,國立中央大學,05311035,化學學系,D 日,B 學士,159,109
8,國立中央大學,05321036,地球科學學系,D 日,B 學士,176,109
8,國立中央大學,05321078,地球科學學院學士班,D 日,B 學士,34,109
8,國立中央大學,05322044,大氣科學學系,D 日,B 學士,250,109
8,國立中央大學,05322079,太空科學與工程學系,D 日,B 學士,28,109
8,國立中央大學,05331042,物理學系,D 日,B 學士,194,109
8,國立中央大學,05399050,理學院學士班,D 日,B 學士,72,109
8,國立中央大學,05411051,數學系,D 日,B 學士,306,109
8,國立中央大學,06131053,資訊管理學系,D 日,B 學士,417,109
8,國立中央大學,06131059,資訊工程學系,D 日,B 學士,414,109
8,國立中央大學,07111069,化學工程與材料工程學系,D 日,B 學士,200,109
8,國立中央大學,07141055,電機工程學系,D 日,B 學士,448,109
8,國立中央大學,07141057,光電科學與工程學系,D 日,B 學士,176,109
8,國立中央大學,07141060,通訊工程學系,D 日,B 學士,178,109
8,國立中央大學,07141077,資訊電機學院學士班,D 日,B 學士,64,109
8,國立中央大學,07151064,機械工程學系,D 日,B 學士,536,109
8,國立中央大學,07193074,生醫科學與工程學系,D 日,B 學士,93,109
8,國立中央大學,07194076,工學院學士班,D 日,B 學士,74,109
8,國立中央大學,07321067,土木工程學系,D 日,B 學士,374,109
