統計期,畢業年,學位,學門,薪資
113年 1月,112年畢業,碩士,農業學門,42936.0
113年 7月,109年畢業,碩士,農業學門,51591.0
113年 7月,110年畢業,碩士,農業學門,48810.0
113年 7月,111年畢業,碩士,農業學門,48170.0
113年 7月,112年畢業,碩士,農業學門,44884.0
113年 7月,113年畢業,碩士,農業學門,48128.0
114年 1月,109年畢業,碩士,農業學門,53389.0
114年 1月,110年畢業,碩士,農業學門,50297.0
114年 1月,111年畢業,碩士,農業學門,48885.0
114年 1月,112年畢業,碩士,農業學門,46047.0
114年 1月,113年畢業,碩士,農業學門,46586.0
114年 7月,109年畢業,碩士,農業學門,54479.0
114年 7月,110年畢業,碩士,農業學門,52762.0
114年 7月,111年畢業,碩士,農業學門,50236.0
114年 7月,112年畢業,碩士,農業學門,47836.0
114年 7月,113年畢業,碩士,農業學門,47662.0
112年 1月,109年畢業,碩士,林業學門,42339.0
112年 1月,110年畢業,碩士,林業學門,40758.0
112年 1月,111年畢業,碩士,林業學門,41648.0
112年 7月,109年畢業,碩士,林業學門,43381.0
112年 7月,110年畢業,碩士,林業學門,41919.0
112年 7月,111年畢業,碩士,林業學門,42414.0
112年 7月,112年畢業,碩士,林業學門,35445.0
113年 1月,109年畢業,碩士,林業學門,44192.0
113年 1月,110年畢業,碩士,林業學門,42968.0
113年 1月,111年畢業,碩士,林業學門,43381.0
113年 1月,112年畢業,碩士,林業學門,39300.0
113年 7月,109年畢業,碩士,林業學門,44833.0
113年 7月,110年畢業,碩士,林業學門,44615.0
113年 7月,111年畢業,碩士,林業學門,44428.0
113年 7月,112年畢業,碩士,林業學門,40572.0
113年 7月,113年畢業,碩士,林業學門,37289.0
114年 1月,109年畢業,碩士,林業學門,47836.0
114年 1月,110年畢業,碩士,林業學門,46436.0
114年 1月,111年畢業,碩士,林業學門,45257.0
114年 1月,112年畢業,碩士,林業學門,41721.0
114年 1月,113年畢業,碩士,林業學門,42910.0
114年 7月,109年畢業,碩士,林業學門,46446.0
114年 7月,110年畢業,碩士,林業學門,48847.0
114年 7月,111年畢業,碩士,林業學門,46144.0
114年 7月,112年畢業,碩士,林業學門,44038.0
114年 7月,113年畢業,碩士,林業學門,43178.0
112年 1月,109年畢業,碩士,漁業學門,42919.0
112年 1月,110年畢業,碩士,漁業學門,41003.0
112年 1月,111年畢業,碩士,漁業學門,42343.0
112年 7月,109年畢業,碩士,漁業學門,44468.0
112年 7月,110年畢業,碩士,漁業學門,42248.0
112年 7月,111年畢業,碩士,漁業學門,43567.0
112年 7月,112年畢業,碩士,漁業學門,42573.0
113年 1月,109年畢業,碩士,漁業學門,45820.0
113年 1月,110年畢業,碩士,漁業學門,43951.0
113年 1月,111年畢業,碩士,漁業學門,46222.0
113年 1月,112年畢業,碩士,漁業學門,42039.0
113年 7月,109年畢業,碩士,漁業學門,47217.0
113年 7月,110年畢業,碩士,漁業學門,45912.0
113年 7月,111年畢業,碩士,漁業學門,46372.0
113年 7月,112年畢業,碩士,漁業學門,43990.0
113年 7月,113年畢業,碩士,漁業學門,38936.0
114年 1月,109年畢業,碩士,漁業學門,48965.0
