統計期,畢業年,學位,學門,薪資
113年 1月,109年畢業,學士,數學及統計學門,40147.0
113年 1月,110年畢業,學士,數學及統計學門,38330.0
113年 1月,111年畢業,學士,數學及統計學門,36531.0
113年 1月,112年畢業,學士,數學及統計學門,34043.0
113年 7月,109年畢業,學士,數學及統計學門,41749.0
113年 7月,110年畢業,學士,數學及統計學門,39314.0
113年 7月,111年畢業,學士,數學及統計學門,37840.0
113年 7月,112年畢業,學士,數學及統計學門,35784.0
113年 7月,113年畢業,學士,數學及統計學門,33985.0
114年 1月,109年畢業,學士,數學及統計學門,43756.0
114年 1月,110年畢業,學士,數學及統計學門,41464.0
114年 1月,111年畢業,學士,數學及統計學門,40199.0
114年 1月,112年畢業,學士,數學及統計學門,37795.0
114年 1月,113年畢業,學士,數學及統計學門,35665.0
114年 7月,109年畢業,學士,數學及統計學門,45488.0
114年 7月,110年畢業,學士,數學及統計學門,43190.0
114年 7月,111年畢業,學士,數學及統計學門,42114.0
114年 7月,112年畢業,學士,數學及統計學門,39886.0
114年 7月,113年畢業,學士,數學及統計學門,36884.0
112年 1月,109年畢業,學士,資訊通訊科技學門,38114.0
112年 1月,110年畢業,學士,資訊通訊科技學門,36504.0
112年 1月,111年畢業,學士,資訊通訊科技學門,35358.0
112年 7月,109年畢業,學士,資訊通訊科技學門,38850.0
112年 7月,110年畢業,學士,資訊通訊科技學門,37629.0
112年 7月,111年畢業,學士,資訊通訊科技學門,36312.0
112年 7月,112年畢業,學士,資訊通訊科技學門,33542.0
113年 1月,109年畢業,學士,資訊通訊科技學門,40489.0
113年 1月,110年畢業,學士,資訊通訊科技學門,39430.0
113年 1月,111年畢業,學士,資訊通訊科技學門,37519.0
113年 1月,112年畢業,學士,資訊通訊科技學門,35653.0
113年 7月,109年畢業,學士,資訊通訊科技學門,41828.0
113年 7月,110年畢業,學士,資訊通訊科技學門,40471.0
113年 7月,111年畢業,學士,資訊通訊科技學門,38917.0
113年 7月,112年畢業,學士,資訊通訊科技學門,37104.0
113年 7月,113年畢業,學士,資訊通訊科技學門,35616.0
114年 1月,109年畢業,學士,資訊通訊科技學門,43371.0
