學年度,學校代碼,學校名稱,科系代碼,科系名稱,日間∕進修別,等級別,學生數,教師數,上學年度畢業生數,縣市名稱,體系別
113,0007,國立陽明交通大學,09121171,跨領域醫學博士學位學程,D 日,D 博士,27,2,0,18 新竹市,1 一般
113,0007,國立陽明交通大學,09121177,跨領域分子醫學碩士學位學程,D 日,M 碩士,16,3,0,18 新竹市,1 一般
113,0007,國立陽明交通大學,09121183,中醫學系,D 日,B 學士,28,7,0,18 新竹市,1 一般
113,0007,國立陽明交通大學,09131149,護理學系,D 日,D 博士,59,0,13,18 新竹市,1 一般
113,0007,國立陽明交通大學,09131149,護理學系,N 職,M 碩士,82,0,12,18 新竹市,1 一般
113,0007,國立陽明交通大學,09131149,護理學系,D 日,B 學士,152,12,36,18 新竹市,1 一般
113,0007,國立陽明交通大學,09131150,臨床護理研究所,D 日,D 博士,20,0,4,18 新竹市,1 一般
113,0007,國立陽明交通大學,09131150,臨床護理研究所,D 日,M 碩士,60,8,25,18 新竹市,1 一般
113,0007,國立陽明交通大學,09131153,社區健康照護研究所,D 日,M 碩士,39,6,16,18 新竹市,1 一般
113,0007,國立陽明交通大學,09141158,醫學生物技術暨檢驗學系,D 日,D 博士,12,0,1,18 新竹市,1 一般
113,0007,國立陽明交通大學,09141158,醫學生物技術暨檢驗學系,D 日,M 碩士,46,0,19,18 新竹市,1 一般
113,0007,國立陽明交通大學,09141158,醫學生物技術暨檢驗學系,D 日,B 學士,152,12,33,18 新竹市,1 一般
113,0007,國立陽明交通大學,09141159,生物醫學影像暨放射科學系,D 日,D 博士,39,0,8,18 新竹市,1 一般
113,0007,國立陽明交通大學,09141159,生物醫學影像暨放射科學系,D 日,M 碩士,52,0,21,18 新竹市,1 一般
113,0007,國立陽明交通大學,09141159,生物醫學影像暨放射科學系,D 日,B 學士,141,13,32,18 新竹市,1 一般
113,0007,國立陽明交通大學,09141166,生物醫學暨工程科技產業博士學位學程,D 日,D 博士,8,0,1,18 新竹市,1 一般
113,0007,國立陽明交通大學,09151148,物理治療暨輔助科技學系,D 日,D 博士,26,0,4,18 新竹市,1 一般
113,0007,國立陽明交通大學,09151148,物理治療暨輔助科技學系,D 日,M 碩士,76,0,28,18 新竹市,1 一般
113,0007,國立陽明交通大學,09151148,物理治療暨輔助科技學系,D 日,B 學士,231,17,30,18 新竹市,1 一般
113,0007,國立陽明交通大學,09161142,藥學系,D 日,M 碩士,33,0,16,18 新竹市,1 一般
